1976,101
1977,121
1978,119
1979,140
1980,116
1981,148
1982,133
1983,69
1984,127
1985,132
1986,151
1987,143
1988,108
1989,103
1990,79
1991,75
1992,55
1993,61
1994,140
1995,59
1996,137
1997,104
1998,72
1999,101
2000,96
2001,77
2002,102
2003,160
2004,92
2005,78
2006,107
2007,48
2008,31
2009,74
2010,124
2011,151
2012,80
2013,132
2014,54
2015,19
2016,69
2017,60
2018,91
2019,76
2020,0
